 ,Area,Mean,Min,Max,Angle,Length
1,11.589,15824.477,+AC0-1121.875,27300.627,+AC0-30.256,11.908
2,10.761,18888.225,8854.688,24516.58,+AC0-120.964,10.851
3,9.933,9461.675,+AC0-1527.25,16837.604,+AC0-94.764,10.258
4,9.933,11716.218,+AC0-152.688,20035.562,160.017,10.218
5,13.244,6293.354,+AC0-3252.75,10667.5,+AC0-114.775,13.742
6,12.416,6457.163,+AC0-3503.25,11413.679,153.435,12.416
7,10.761,7960.235,+AC0-4288.962,17023.904,+AC0-104.036,10.676
8,12.416,11404.163,2902,17561.914,164.055,12.476
9,12.416,2948.273,+AC0-6448.602,10410.374,+AC0-102.995,12.669
10,14.072,2057.78,+AC0-7048.902,7502.955,+AC0-11.31,14.135
11,11.589,6070.141,+AC0-1907.619,9945.918,+AC0-81.254,12.245
12,9.933,6806.624,2085.708,14273.859,+AC0-169.695,10.172
13,8.278,9544.6,3430.766,16779.715,+AC0-90,8.341
14,8.278,8203.908,+AC0-2306.773,15624.075,180,8.491
15,9.105,7269.546,1002.106,10660.262,+AC0-119.055,9.494
16,9.933,5261.838,+AC0-1901.073,9022.089,+AC0-33.69,10.012
17,10.761,4360.048,+AC0-5162.312,9764.961,+AC0-90,11.032
18,11.589,4456.185,+AC0-4036.5,11519.382,171.254,11.517
19,9.105,4852.599,+AC0-1078.734,10419.609,+AC0-95.711,9.133
20,9.105,4527.667,+AC0-3953.75,10833.211,0,9.002
21,7.45,5130.699,+AC0-3323.281,11920.625,+AC0-105.945,7.282
22,8.278,5824.108,+AC0-1782.125,11516.354,+AC0-18.435,7.734
23,12.416,819.926,+AC0-4738.375,5118.286,+AC0-120.256,12.334
24,11.589,+AC0-140.577,+AC0-5205.25,6117.562,+AC0-38.66,11.547
25,7.45,+AC0-1141.32,+AC0-9341.969,3654.379,+AC0-116.565,7.688
26,6.622,305.852,+AC0-7008.75,4706.698,+AC0-39.806,6.698
27,9.933,1763.405,+AC0-5294.438,7318.25,+AC0-100.305,10.117
28,8.278,1940.294,+AC0-9971.75,8260.226,+AC0-6.34,7.787
29,12.416,7331.848,+AC0-1499.625,15152.008,+AC0-105.945,12.607
30,11.589,10843.02,1084.906,19255.566,+AC0-4.399,11.636
31,9.933,8482.977,+AC0-2156.75,14833.324,+AC0-111.801,9.833
32,8.278,8189.58,+AC0-125.331,14662.88,+AC0-32.005,8.296
33,6.622,5259.779,+AC0-1916.883,12826.906,+AC0-74.055,6.812
34,6.622,7578.318,764.427,13822.117,+AC0-161.565,6.291
